id_aluno,fase,genero,ano_ingresso,inst_ensino,iaa,ieg,ips,ida,atingiu_pv,ipv,ian,ano,ipp,idade,pedra,matematica,portugues,ingles,defasagem,inde,tipo_estudante,tipo_instituicao,nivel_ensino,evadido,piorou_defasagem,nivel_defasagem,permanencia,jornada,jornada_22_23,jornada_23_24,jornada_inde,jornada_inde_22_23,jornada_inde_23_24,jornada_pedra,jornada_pedra_22_23,jornada_pedra_23_24
RA-1012,0,feminino,2023,publico,10.0,9.9,3.77,6.6,nao,7.845,10.0,2023,7.1875,8,ametista,7.0,6.2,6.780000000000001,0.0,7.96495,ingressante,escolar,fundamental1,False,True,em fase,0,,,recuo,,,neutro,,,avanco
RA-1012,0,feminino,2023,publico,9.502,9.523809524,2.51,9.75,nao,8.443333333,5.0,2024,8.125,9,topazio,10.0,9.5,10.0,-1.0,8.057128571400002,veterano,escolar,fundamental1,True,False,moderada,1,recuo,,recuo,neutro,,neutro,avanco,,avanco
RA-1013,0,masculino,2023,publico,9.0,9.6,4.39,8.3,nao,5.76,10.0,2023,5.625,7,ametista,7.0,9.5,9.24,0.0,7.6237,ingressante,escolar,fundamental1,False,True,em fase,0,,,recuo,,,recuo,,,recuo
RA-1013,0,masculino,2023,publico,9.002,5.6937799039999994,2.51,7.75,nao,4.72,5.0,2024,5.0,8,quartzo,8.0,7.5,8.16,-1.0,5.7839559808,veterano,escolar,fundamental1,True,False,moderada,1,recuo,,recuo,recuo,,recuo,recuo,,recuo
RA-1014,0,feminino,2023,publico,9.0,9.7,3.77,8.2,nao,8.255,10.0,2023,7.5,0,topazio,7.7,8.7,8.280000000000001,0.0,8.2582,ingressante,escolar,fundamental1,False,True,em fase,0,,,recuo,,,recuo,,,recuo
RA-1014,0,feminino,2023,publico,8.502,7.8863636365000005,2.51,5.25,nao,7.0,5.0,2024,6.875,8,agata,6.5,4.0,4.66,-1.0,6.315972727300001,veterano,escolar,fundamental1,True,False,moderada,1,recuo,,recuo,recuo,,recuo,recuo,,recuo
RA-1015,1,feminino,2023,publico,10.0,9.3,6.27,6.3,nao,7.786666667,5.0,2023,7.34375,10,ametista,5.0,7.6,6.36,-1.0,7.538908333,ingressante,escolar,fundamental1,False,False,moderada,0,,,avanco,,,recuo,,,avanco
RA-1015,2,feminino,2023,publico,7.918,7.8214285715,7.51,4.0,nao,5.66,10.0,2024,6.041666667,11,agata,2.0,6.0,4.08,0.0,6.643252381000002,veterano,escolar,fundamental2,True,False,em fase,1,avanco,,avanco,recuo,,recuo,avanco,,avanco
RA-1016,1,feminino,2023,publico,10.0,9.5,7.52,6.7,nao,7.73,5.0,2023,7.34375,10,ametista,5.8,7.5,7.359999999999999,-1.0,7.762575,ingressante,escolar,fundamental1,True,False,moderada,0,,,,,,,,,
RA-1017,1,masculino,2023,publico,0.0,8.0,5.02,7.7,nao,8.116666667,5.0,2023,7.5,0,agata,7.0,8.3,8.16,-1.0,6.505333333,ingressante,escolar,fundamental1,False,False,moderada,0,,,avanco,,,avanco,,,recuo
RA-1017,2,masculino,2023,publico,9.502,7.8095238095,6.26,5.0,nao,7.443333333,10.0,2024,7.1875,12,ametista,2.5,7.5,4.0600000000000005,0.0,7.345521428500001,veterano,escolar,fundamental2,True,False,em fase,1,avanco,,avanco,avanco,,avanco,recuo,,recuo
